,Intersection place,Start intersection ID,End intersection ID,Name of the road segment,car,long vehicle,bus,Total vehicles,Distance (m),Distance (s),Distance with intersection (s),Travel duration prediction (Fjolla),Start Laitude,Start Longitude,End Laitude,End Longitude,Name of the lane in SUMO,Name of the edge lane in SUMO,Name of the road segment in OpenStreetMap
152,Tjegullorja,9,11,XhamiaLlapit_Tjegullorja_Zagrebi,57,2,,59,550,50,53,,42.671376,21.161779,42.669213,21.158287,,-665275599,
153,Tjegullorja,9,11,XhamiaLlapit_Tjegullorja_Plava,11,,,11,550,50,53,,42.671376,21.161779,42.669213,21.158287,,-665275599,
154,Tjegullorja,44,11,Zagrebi_Tjegullorja_Plava,9,,,9,60,6,9,,42.668727,21.157932,42.669213,21.158287,,4854667#1,
155,Tjegullorja,44,11,Zagrebi_Tjegullorja_XhamiaLlapit,40,,,40,60,6,9,,42.668727,21.157932,42.669213,21.158287,,4854667#1,
156,Tjegullorja,44,11,Zagrebi_Tjegullorja_Vushtrria,9,,,9,60,6,9,,42.668727,21.157932,42.669213,21.158287,,4854667#1,
157,Tjegullorja,46,11,Plava_Tjegullorja_XhamiaLlapit,3,,,3,50,5,8,,42.669441,21.157807,42.669213,21.158287,,50303903#7,
158,Tjegullorja,46,11,Plava_Tjegullorja_Vushtrria,22,,,22,50,5,8,,42.669441,21.157807,42.669213,21.158287,,50303903#7,
159,Tjegullorja,46,11,Plava_Tjegullorja_Zagrebi,14,,,14,50,5,8,,42.669441,21.157807,42.669213,21.158287,,50303903#7,
160,Tjegullorja,45,11,Vushtrria_Tjegullorja_Zagrebi,12,,,12,40,4,7,,42.669046,21.15873,42.669213,21.158287,,-665275598#0,
161,Tjegullorja,45,11,Vushtrria_Tjegullorja_Plava,8,,,8,40,4,7,,42.669046,21.15873,42.669213,21.158287,,-665275598#0,
162,Tjegullorja,45,11,Vushtrria_Tjegullorja_XhamiaLlapit,2,,,2,40,4,7,,42.669046,21.15873,42.669213,21.158287,,-665275598#0,
163,Tjegullorja,11,44,Tjegullorja_Zagrebi,,,,0,60,6,9,,42.669213,21.158287,42.668727,21.157932,,-4854667#1,
164,Tjegullorja,11,45,Tjegullorja_Vushtrria,,,,0,40,4,7,,42.669213,21.158287,42.669046,21.15873,,665275598#0,
165,Tjegullorja,11,46,Tjegullorja_Plava,,,,0,50,5,8,,42.669213,21.158287,42.669441,21.157807,,-50303903#7,
166,PTK,2,12,Katedralja_PTK_Katedralja,4,,,4,500,45,48,,42.655576,21.159651,42.651219,21.158474,,4854654#1,
167,PTK,2,12,Katedralja_PTK_ImzotNikeprela,15,,,15,500,45,48,,42.655576,21.159651,42.651219,21.158474,,4854654#1,
168,PTK,2,12,Katedralja_PTK_BulevardiDK,55,,4,59,500,45,48,,42.655576,21.159651,42.651219,21.158474,,4854654#1,
169,PTK,2,12,Katedralja_PTK_28Nentori,13,,,13,500,45,48,,42.655576,21.159651,42.651219,21.158474,,4854654#1,
170,PTK,48,12,BulevardiDK_PTK_BulevardiDK,0,,,0,110,10,13,,42.650248,21.158273,42.651219,21.158474,,,
171,PTK,48,12,BulevardiDK_PTK_28Nentori,13,,,13,110,10,13,,42.650248,21.158273,42.651219,21.158474,,106654240#3,
172,PTK,48,12,BulevardiDK_PTK_Katedralja,80,,5,85,110,10,13,,42.650248,21.158273,42.651219,21.158474,,106654240#3,
173,PTK,48,12,BulevardiDK_PTK_ImzotNikeprela,17,,,17,110,10,13,,42.650248,21.158273,42.651219,21.158474,,106654240#3,
174,PTK,47,12,ImzotNikeprela_PTK_BulevardiDK,8,,,8,60,6,9,,42.650986,21.158937,42.651219,21.158474,,670254874#0,
175,PTK,47,12,ImzotNikeprela_PTK_28Nentori,17,,,17,60,6,9,,42.650986,21.158937,42.651219,21.158474,,670254874#0,
176,PTK,47,12,ImzotNikeprela_PTK_Katedralja,20,,,20,60,6,9,,42.650986,21.158937,42.651219,21.158474,,670254874#0,
177,PTK,49,12,28Nentori_PTK_Katedralja,14,,,14,100,9,12,,42.65066,21.157752,42.651219,21.158474,,219774027#0,
178,PTK,49,12,28Nentori_PTK_ImzotNikeprela,15,,,15,100,9,12,,42.65066,21.157752,42.651219,21.158474,,219774027#0,
179,PTK,49,12,28Nentori_PTK_BulevardiDK,15,,,15,100,9,12,,42.65066,21.157752,42.651219,21.158474,,219774027#0,
